name,image_id,base_info,is_animal_card,is_constellation_card,is_golden_crad,category,price_0,sub_card,star,star_0,star_1,star_2,star_3,star_4,star_5,star_6,star_7,star_8,star_9,star_10,star_11,star_12,star_13,star_14,star_15,star_16,star_M,star_U,skill,skill_0,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,transfer_change,additional_info
双向水管,card_data_index_1_1_1_0,"🟤不转：双向水管
🟤能力：对前后方都可以攻击

🟠一转：控温双向水管
🟠能力：前方多出一发子弹

🟣二转：合金水管
🟣能力：前后各再多出一发子弹",FALSE,FALSE,FALSE,管线类/水管类,125,中卡😭,攻击力,10,12,14,16,18,20,22,26,32,40,55,70,85,100,115,130,145,null,null,攻击间隔,1.3,1.25,1.2,1.15,1.1,1.05,1,0.95,0.9,⚔️️子弹数(后+前)：2+1/2+2/3+3,😋[食神谱]水煮鱼：攻击力提升10%
控温双向水管,card_data_index_1_1_1_1,"🟤不转：双向水管
🟤能力：对前后方都可以攻击

🟠一转：控温双向水管
🟠能力：前方多出一发子弹

🟣二转：合金水管
🟣能力：前后各再多出一发子弹",FALSE,FALSE,FALSE,管线类/水管类,125,好卡😀,攻击力,10,12,14,16,18,20,22,26,32,40,55,70,85,100,115,130,145,null,null,攻击间隔,1.3,1.25,1.2,1.15,1.1,1.05,1,0.95,0.9,⚔️️子弹数(后+前)：2+1/2+2/3+3,😋[食神谱]水煮鱼：攻击力提升10%
合金水管,card_data_index_1_1_1_2,"🟤不转：双向水管
🟤能力：对前后方都可以攻击

🟠一转：控温双向水管
🟠能力：前方多出一发子弹

🟣二转：合金水管
🟣能力：前后各再多出一发子弹",FALSE,FALSE,FALSE,管线类/水管类,125,好卡😀,攻击力,10,12,14,16,18,20,22,26,32,40,55,70,85,100,115,130,145,null,null,攻击间隔,1.3,1.25,1.2,1.15,1.1,1.05,1,0.95,0.9,⚔️️子弹数(后+前)：2+1/2+2/3+3,😋[食神谱]水煮鱼：攻击力提升10%
天秤座精灵,card_data_index_1_1_2_0,"🟤不转：天秤座精灵
🟤能力：对前后方各发射3发强力子弹，威力与实力的象征！

🟠一转：天秤座战将
🟠能力：能量守恒(不+)

🟣二转：天秤座星宿
🟣能力：前后各再多出一发子弹",FALSE,TRUE,FALSE,管线类/水管类,150+,好卡😀,攻击力,12,14,16,18,20,22,26,32,40,55,70,85,100,120,140,160,185,null,null,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,0.95,⚔️️子弹数(后+前)：3+3/3+3/4+4,"😋[食神谱]川香冒菜：攻击力提升10%

📕[图鉴]收集12张卡片，攻速提升5%"
天秤座战将,card_data_index_1_1_2_1,"🟤不转：天秤座精灵
🟤能力：对前后方各发射3发强力子弹，威力与实力的象征！

🟠一转：天秤座战将
🟠能力：能量守恒(不+)

🟣二转：天秤座星宿
🟣能力：前后各再多出一发子弹",FALSE,TRUE,FALSE,管线类/水管类,150,好卡😀,攻击力,12,14,16,18,20,22,26,32,40,55,70,85,100,120,140,160,185,null,null,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,0.95,⚔️️子弹数(后+前)：3+3/3+3/4+4,"😋[食神谱]川香冒菜：攻击力提升10%

📕[图鉴]收集12张卡片，攻速提升5%"
天秤座星宿,card_data_index_1_1_2_2,"🟤不转：天秤座精灵
🟤能力：对前后方各发射3发强力子弹，威力与实力的象征！

🟠一转：天秤座战将
🟠能力：能量守恒(不+)

🟣二转：天秤座星宿
🟣能力：前后各再多出一发子弹",FALSE,TRUE,FALSE,管线类/水管类,150,好卡😀,攻击力,12,14,16,18,20,22,26,32,40,55,70,85,100,120,140,160,185,null,null,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,0.95,⚔️️子弹数(后+前)：3+3/3+3/4+4,"😋[食神谱]川香冒菜：攻击力提升10%

📕[图鉴]收集12张卡片，攻速提升5%"
呆呆鸡,card_data_index_1_1_3_0,"🟤不转：呆呆鸡
🟤能力：对前后方各发射2发强力子弹，威力与实力的象征！

🟠一转：水遁呆呆鸡
🟠能力：前方增加一发子弹

🟣二转：贤圣呆呆鸡
🟣能力：前后各增加1发,子弹威力提升5%",TRUE,FALSE,FALSE,管线类/水管类,115,好卡😀,攻击力,11,13,15,18,20,22,24,29,35,44,61,77,94,110,127,143,163,null,null,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,0.95,⚔️️子弹数(后+前)：2+2/2+3/3+4,📕[图鉴]收集6张卡片，攻速提升5%
水遁呆呆鸡,card_data_index_1_1_3_1,"🟤不转：呆呆鸡
🟤能力：对前后方各发射2发强力子弹，威力与实力的象征！

🟠一转：水遁呆呆鸡
🟠能力：前方增加一发子弹

🟣二转：贤圣呆呆鸡
🟣能力：前后各增加1发,子弹威力提升5%",TRUE,FALSE,FALSE,管线类/水管类,115,好卡😀,攻击力,11,13,15,18,20,22,24,29,35,44,61,77,94,110,127,143,163,null,null,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,0.95,⚔️️子弹数(后+前)：2+2/2+3/3+4,📕[图鉴]收集6张卡片，攻速提升5%
贤圣呆呆鸡,card_data_index_1_1_3_2,"🟤不转：呆呆鸡
🟤能力：对前后方各发射2发强力子弹，威力与实力的象征！

🟠一转：水遁呆呆鸡
🟠能力：前方增加一发子弹

🟣二转：贤圣呆呆鸡
🟣能力：前后各增加1发,子弹威力提升5%",TRUE,FALSE,FALSE,管线类/水管类,115,好卡😀,攻击力,11,13,15,18,21,23,25,30,36,46,64,80,98,115,133,150,171,null,null,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,0.95,⚔️️子弹数(后+前)：2+2/2+3/3+4,📕[图鉴]收集6张卡片，攻速提升5%
阿瑞斯神使,card_data_index_1_1_4_0,"🟡合成材料：合金水管+天秤座星宿

🟤不转：阿瑞斯神使
🟤能力：前后方分别同时发射4发强力子弹，一共8发

🟠三转：阿瑞斯圣神
🟠能力：前方增加1发子弹

🟣四转：战神·阿瑞斯
🟣能力：后方增加1发子弹。每隔几发射出强力的超级子弹，并且首发即为超级子弹

🔴终转：至尊战神
🔴能力：超级子弹产生3*3十字爆炸效果",FALSE,FALSE,TRUE,管线类/水管类,150,好卡😀,攻击力,14,16,18,20,22,24,28,34,42,58,74,89,108,128,148,168,188,258,387,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,1,⚔️️子弹数(后+前)：4+4/4+5/5+5/5+5,"😋[食神谱]菲丽水：攻击力提升25%

⭐[金卡援护]攻击力最高提升35

📕[图鉴]收集8张卡片(终转0张)，攻速提升5%

🤔️[附加说明]
1.四转首轮攻击的首发为4倍伤害不过火的超级子弹，后间隔3轮发射1次(即第4n+1(n∈N)轮攻击的首发子弹)
2.四转、终转战神的超级子弹均为替换关系(即用超级子弹替换普通子弹)
3.终转超级子弹对命中者造成7倍伤，同格者造成6倍伤，3*3十字的四角造成3倍伤"
