name,image_1_id,image_2_id,image_result_id,base_info,category,price_0,sub_card,star,star_detail,star_0,star_1,star_2,star_3,star_4,star_5,star_6,star_7,star_8,star_9,star_10,star_11,star_12,star_13,star_14,star_15,star_16,star_M,star_U,star_fusion,star_fusion_detail,star_fusion_0,star_fusion_1,star_fusion_2,star_fusion_3,star_fusion_4,star_fusion_5,star_fusion_6,star_fusion_7,star_fusion_8,star_fusion_9,star_fusion_10,star_fusion_11,star_fusion_12,star_fusion_13,star_fusion_14,star_fusion_15,star_fusion_16,star_fusion_M,star_fusion_U,skill,skill_detail,skill_0,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,transfer_change,additional_info
火炉菠萝面包,card_data_index_15_1_5_2,card_data_index_5_1_1_2,card_data_index_16_1_1_1,"⭐主卡信息：

🟤不转：菠萝爆炸面包
🟤能力：阻挡老鼠的进攻,体力为零时就会自爆(需要放在土司面包上)

🟠一转：独角菠萝面包
🟠能力：无需底座

🟣二转：皇冠菠萝面包
🟣能力：能量守恒(不+)

⭐融合信息：

🟩初级融合(+太阳能高效炉)：火炉菠萝面包
🟩能力：被老鼠啃咬时，几率生产1朵小火苗

🟪深度融合(+九天皓日火龙果)：火龙果菠萝包
🟪能力：每隔一段时间可自动释放5×5范围火焰攻击鼠军

🟥灵魂融合(+格林机枪笼包)：机枪菠萝面包
🟥能力：向前连续发射4枚子弹",防御类/面包类,150,好卡😀,体力,体力,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,null,null,火苗单值,火苗单值,/,10,12,14,16,18,20,22,24,26,28,30,35,40,45,50,55,null,null,冷却时间,冷却时间,50,48,45,32,38,34,30,25,20,"⚔️️初级融合后，啃咬产生1朵火苗，每5秒最多产3朵
⚔️️深度融合后，每4.5秒造成5×5范围灼烧伤害
⚔️️灵魂融合后，每1.5秒发射4发子弹，可反弹过火","😋[食神谱]面包家族：体力提升20%

🤔[附加说明]
1.死亡3×3灰烬爆炸
2.可以抵挡竞技卡的攻击"
火龙果菠萝包,card_data_index_16_1_1_1,card_data_index_13_2_5_2,card_data_index_16_1_1_2,"⭐主卡信息：

🟤不转：菠萝爆炸面包
🟤能力：阻挡老鼠的进攻,体力为零时就会自爆(需要放在土司面包上)

🟠一转：独角菠萝面包
🟠能力：无需底座

🟣二转：皇冠菠萝面包
🟣能力：能量守恒(不+)

⭐融合信息：

🟩初级融合(+太阳能高效炉)：火炉菠萝面包
🟩能力：被老鼠啃咬时，几率生产1朵小火苗

🟪深度融合(+九天皓日火龙果)：火龙果菠萝包
🟪能力：每隔一段时间可自动释放5×5范围火焰攻击鼠军

🟥灵魂融合(+格林机枪笼包)：机枪菠萝面包
🟥能力：向前连续发射4枚子弹",防御类/面包类,150,好卡😀,体力,体力,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,null,null,火苗单值、灼烧伤害,"火苗单值
灼烧伤害","/
/","10
60","12
70","14
80","16
100","18
120","20
140","22
170","24
200","26
230","28
270","30
310","35
350","40
390","45
430","50
470","55
510","null
null","null
null",冷却时间,冷却时间,50,48,45,32,38,34,30,25,20,"⚔️️初级融合后，啃咬产生1朵火苗，每5秒最多产3朵
⚔️️深度融合后，每4.5秒造成5×5范围灼烧伤害
⚔️️灵魂融合后，每1.5秒发射4发子弹，可反弹过火","😋[食神谱]面包家族：体力提升20%

🤔[附加说明]
1.死亡3×3灰烬爆炸
2.可以抵挡竞技卡的攻击"
机枪菠萝面包,card_data_index_16_1_1_2,card_data_index_11_1_4_2,card_data_index_16_1_1_3,"⭐主卡信息：

🟤不转：菠萝爆炸面包
🟤能力：阻挡老鼠的进攻,体力为零时就会自爆(需要放在土司面包上)

🟠一转：独角菠萝面包
🟠能力：无需底座

🟣二转：皇冠菠萝面包
🟣能力：能量守恒(不+)

⭐融合信息：

🟩初级融合(+太阳能高效炉)：火炉菠萝面包
🟩能力：被老鼠啃咬时，几率生产1朵小火苗

🟪深度融合(+九天皓日火龙果)：火龙果菠萝包
🟪能力：每隔一段时间可自动释放5×5范围火焰攻击鼠军

🟥灵魂融合(+格林机枪笼包)：机枪菠萝面包
🟥能力：向前连续发射4枚子弹",防御类/面包类,150,好卡😀,体力,体力,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,null,null,火苗单值、灼烧伤害、攻击力,"火苗单值
灼烧伤害
攻击力","/
/
/","10
60
12","12
70
14","14
80
16","16
100
18","18
120
20","20
140
22","22
170
26","24
200
32","26
230
40","28
270
55","30
310
70","35
350
85","40
390
100","45
430
115","50
470
130","55
510
145","null
null
null","null
null
null",冷却时间,冷却时间,50,48,45,32,38,34,30,25,20,"⚔️️初级融合后，啃咬产生1朵火苗，每5秒最多产3朵
⚔️️深度融合后，每4.5秒造成5×5范围灼烧伤害
⚔️️灵魂融合后，每1.5秒发射4发子弹，可反弹过火","😋[食神谱]面包家族：体力提升20%

🤔[附加说明]
1.死亡3×3灰烬爆炸
2.可以抵挡竞技卡的攻击"
雪芭煮蛋器,card_data_index_2_2_1_2,card_data_index_2_2_8_2,card_data_index_16_1_2_1,"⭐主卡信息：

🟤不转：煮蛋器投手
🟤能力：投掷强力鸡蛋的同时会产生溅射

🟠一转：威力煮蛋器
🟠能力：溅射伤害提高到35%

🟣二转：强袭煮蛋器
🟣能力：连射2发鸡蛋

⭐融合信息：

🟩初级融合(+水果雪芭投手)：雪芭煮蛋器
🟩能力：攻击几率定身效果

🟪深度融合(+铁板臭豆腐投手)：臭豆腐煮蛋器
🟪能力：溅射范围额外附加毒气伤害

🟥灵魂融合(+终结者酒架)：终结者煮蛋器
🟥能力：可向前方3行投掷子弹",投掷类/中型投手,250,好卡😀,攻击力,攻击力,50,60,70,80,100,120,140,170,200,230,280,360,450,550,660,780,900,null,null,定身概率、定身时间,"定身概率
定身时间","/
/","5%
2.1","6%
2.1","7%
2.2","8%
2.2","9%
2.3","10%
2.3","11%
2.4","12%
2.4","13%
2.5","14%
2.5","15%
2.6","16%
2.8","17%
3","18%
3.2","19%
3.4","20%
3.6","null
null","null
null",攻击间隔,攻击间隔,3,2.9,2.8,2.7,2.6,2.4,2.2,2,1.8,"⚔️️初级融合后，几率定身数秒
⚔️️深度融合后，溅射造成3次毒气伤害
⚔️️灵魂融合后，同时发射3行子弹且品阶强化额外提供攻击附加","😋[食神谱]葡式蛋挞：冷却时间减少1秒
😋[食神谱]番茄炒蛋：攻击力提升10%
😋[食神谱]茶叶蛋：攻速提升10%
😋[食神谱]圣诞姜饼：攻速提升5%"
臭豆腐煮蛋器,card_data_index_16_1_2_1,card_data_index_2_3_3_2,card_data_index_16_1_2_2,"⭐主卡信息：

🟤不转：煮蛋器投手
🟤能力：投掷强力鸡蛋的同时会产生溅射

🟠一转：威力煮蛋器
🟠能力：溅射伤害提高到35%

🟣二转：强袭煮蛋器
🟣能力：连射2发鸡蛋

⭐融合信息：

🟩初级融合(+水果雪芭投手)：雪芭煮蛋器
🟩能力：攻击几率定身效果

🟪深度融合(+铁板臭豆腐投手)：臭豆腐煮蛋器
🟪能力：溅射范围额外附加毒气伤害

🟥灵魂融合(+终结者酒架)：终结者煮蛋器
🟥能力：可向前方3行投掷子弹",投掷类/中型投手,250,好卡😀,攻击力,攻击力,50,60,70,80,100,120,140,170,200,230,280,360,450,550,660,780,900,null,null,定身概率、定身时间、毒气伤害,"定身概率
定身时间
毒气伤害","/
/
/","5%
2.1
13","6%
2.1
15","7%
2.2
18","8%
2.2
24","9%
2.3
31","10%
2.3
38","11%
2.4
45","12%
2.4
54","13%
2.5
63","14%
2.5
76","15%
2.6
90","16%
2.8
104","17%
3
118","18%
3.2
132","19%
3.4
146","20%
3.6
162","null
null
null","null
null
null",攻击间隔,攻击间隔,3,2.9,2.8,2.7,2.6,2.4,2.2,2,1.8,"⚔️️初级融合后，几率定身数秒
⚔️️深度融合后，溅射造成3次毒气伤害
⚔️️灵魂融合后，同时发射3行子弹且品阶强化额外提供攻击附加","😋[食神谱]葡式蛋挞：冷却时间减少1秒
😋[食神谱]番茄炒蛋：攻击力提升10%
😋[食神谱]茶叶蛋：攻速提升10%
😋[食神谱]圣诞姜饼：攻速提升5%"
终结者煮蛋器,card_data_index_16_1_2_2,card_data_index_1_2_1_2,card_data_index_16_1_2_3,"⭐主卡信息：

🟤不转：煮蛋器投手
🟤能力：投掷强力鸡蛋的同时会产生溅射

🟠一转：威力煮蛋器
🟠能力：溅射伤害提高到35%

🟣二转：强袭煮蛋器
🟣能力：连射2发鸡蛋

⭐融合信息：

🟩初级融合(+水果雪芭投手)：雪芭煮蛋器
🟩能力：攻击几率定身效果

🟪深度融合(+铁板臭豆腐投手)：臭豆腐煮蛋器
🟪能力：溅射范围额外附加毒气伤害

🟥灵魂融合(+终结者酒架)：终结者煮蛋器
🟥能力：可向前方3行投掷子弹",投掷类/中型投手,250,好卡😀,攻击力,攻击力,50,60,70,80,100,120,140,170,200,230,280,360,450,550,660,780,900,null,null,定身概率、定身时间、毒气伤害、攻击附加,"定身概率
定身时间
毒气伤害
攻击附加","/
/
/
/","5%
2.1
13
30","6%
2.1
15
35","7%
2.2
18
40","8%
2.2
24
50","9%
2.3
31
60","10%
2.3
38
70","11%
2.4
45
85","12%
2.4
54
100","13%
2.5
63
115","14%
2.5
76
140","15%
2.6
90
180","16%
2.8
104
225","17%
3
118
275","18%
3.2
132
330","19%
3.4
146
390","20%
3.6
162
450","null
null
null
null","null
null
null
null",攻击间隔,攻击间隔,3,2.9,2.8,2.7,2.6,2.4,2.2,2,1.8,"⚔️️初级融合后，几率定身数秒
⚔️️深度融合后，溅射造成3次毒气伤害
⚔️️灵魂融合后，同时发射3行子弹且品阶强化额外提供攻击附加","😋[食神谱]葡式蛋挞：冷却时间减少1秒
😋[食神谱]番茄炒蛋：攻击力提升10%
😋[食神谱]茶叶蛋：攻速提升10%
😋[食神谱]圣诞姜饼：攻速提升5%"
火影怪味鱿鱼,card_data_index_3_2_5_2,card_data_index_9_1_1_2,card_data_index_16_1_3_1,"⭐主卡信息：

🟤不转：怪味鱿鱼
🟤能力：套在章鱼烧卡片上使用，向8个方向分别发射1发子弹

🟠一转：爆汁怪味鱿鱼
🟠能力：子弹可以反弹

🟣二转：天椒怪味鱿鱼
🟣能力：各路增加1发子弹

⭐融合信息：

🟩初级融合(+火影章鱼烧)：火影怪味鱿鱼
🟩能力：无需底座

🟪深度融合(+合金水管)：合金怪味鱿鱼
🟪能力：前后路各增加1发子弹，并且中路子弹可以过火

🟥灵魂融合(+松塔爆破机)：松香怪味鱿鱼
🟥能力：向前再增加2路子弹，共计22发",类海星类/章鱼类海星,155,好卡😀,攻击力,攻击力,32,39,45,52,65,78,91,110,130,149,182,234,299,370,448,533,630,null,null,攻击附加,攻击附加,/,19,23,27,31,38,45,55,65,75,90,120,150,180,220,270,330,null,null,攻击间隔,攻击间隔,1.5,1.45,1.4,1.35,1.3,1.25,1.2,1.15,1.05,"⚔️️初级融合后，攻击=攻击力+攻击附加，无需底座
⚔️️深度融合后，前后各3发且中路可过火
⚔️️灵魂融合后，子弹方向0°,±30,±60°,±90°,±135°,180°","🚫[子弹不可过火]

🍮[反弹]子弹可被反弹

😋[食神谱]奇境下午茶：攻击力提升15%"
合金怪味鱿鱼,card_data_index_16_1_3_1,card_data_index_1_1_1_2,card_data_index_16_1_3_2,"⭐主卡信息：

🟤不转：怪味鱿鱼
🟤能力：套在章鱼烧卡片上使用，向8个方向分别发射1发子弹

🟠一转：爆汁怪味鱿鱼
🟠能力：子弹可以反弹

🟣二转：天椒怪味鱿鱼
🟣能力：各路增加1发子弹

⭐融合信息：

🟩初级融合(+火影章鱼烧)：火影怪味鱿鱼
🟩能力：无需底座

🟪深度融合(+合金水管)：合金怪味鱿鱼
🟪能力：前后路各增加1发子弹，并且中路子弹可以过火

🟥灵魂融合(+松塔爆破机)：松香怪味鱿鱼
🟥能力：向前再增加2路子弹，共计22发",类海星类/章鱼类海星,155,好卡😀,攻击力,攻击力,32,39,45,52,65,78,91,110,130,149,182,234,299,370,448,533,630,null,null,攻击附加,攻击附加,/,19,23,27,31,38,45,55,65,75,90,120,150,180,220,270,330,null,null,攻击间隔,攻击间隔,1.5,1.45,1.4,1.35,1.3,1.25,1.2,1.15,1.05,"⚔️️初级融合后，攻击=攻击力+攻击附加，无需底座
⚔️️深度融合后，前后各3发且中路可过火
⚔️️灵魂融合后，子弹方向0°,±30,±60°,±90°,±135°,180°","🚫[除中路外，其余子弹不可过火]

🍮[反弹]子弹可被反弹

😋[食神谱]奇境下午茶：攻击力提升15%"
松香怪味鱿鱼,card_data_index_16_1_3_2,card_data_index_3_2_3_2,card_data_index_16_1_3_3,"⭐主卡信息：

🟤不转：怪味鱿鱼
🟤能力：套在章鱼烧卡片上使用，向8个方向分别发射1发子弹

🟠一转：爆汁怪味鱿鱼
🟠能力：子弹可以反弹

🟣二转：天椒怪味鱿鱼
🟣能力：各路增加1发子弹

⭐融合信息：

🟩初级融合(+火影章鱼烧)：火影怪味鱿鱼
🟩能力：无需底座

🟪深度融合(+合金水管)：合金怪味鱿鱼
🟪能力：前后路各增加1发子弹，并且中路子弹可以过火

🟥灵魂融合(+松塔爆破机)：松香怪味鱿鱼
🟥能力：向前再增加2路子弹，共计22发",类海星类/章鱼类海星,155,好卡😀,攻击力,攻击力,32,39,45,52,65,78,91,110,130,149,182,234,299,370,448,533,630,null,null,攻击附加,攻击附加,/,19,23,27,31,38,45,55,65,75,90,120,150,180,220,270,330,null,null,攻击间隔,攻击间隔,1.5,1.45,1.4,1.35,1.3,1.25,1.2,1.15,1.05,"⚔️️初级融合后，攻击=攻击力+攻击附加，无需底座
⚔️️深度融合后，前后各3发且中路可过火
⚔️️灵魂融合后，子弹方向0°,±30,±60°,±90°,±135°,180°","🚫[除中路外，其余子弹不可过火]

🍮[反弹]子弹可被反弹

😋[食神谱]奇境下午茶：攻击力提升15%"
酱香锅烤栗子,card_data_index_10_1_6_2,card_data_index_10_1_2_2,card_data_index_16_1_4_1,"⭐主卡信息：

🟤不转：糖炒栗子
🟤能力：向前方喷出可以持续灼烧老鼠的滚烫栗子

🟠一转：开口笑栗子
🟠能力：灼烧范围扩大到3*3

🟣二转：焦香烤栗子
🟣能力：十字范围伤害提高

⭐融合信息：

🟩初级融合(+酱香鱿鱼锅)：酱香锅烤栗子
🟩能力：伤害提高扩大到3×3范围

🟪深度融合(+燃烧可乐弹)：可乐香烤栗子
🟪能力：间隔一段时间，额外产生一次3×3爆炸

🟥灵魂融合(+柿柿如意)：如意香烤栗子
🟥能力：向前方3行投掷栗子子弹",杂项类/浮空三锅,160,中卡😭,攻击力(3×3十字区域、其他区域),"3×3十字区域
其他区域","7
6","8
7","9
8","13
11","15
13","19
16","22
19","26
22","31
26","36
30","42
35","48
40","56
47","64
54","73
61","81
68","90
75","null
null","null
null",攻击附加,攻击附加,/,2,3,3,4,5,6,7,9,10,12,14,16,19,21,24,26,null,null,攻击间隔,攻击间隔,3.8,3.7,3.5,3.3,3.1,2.9,2.7,2.5,2.2,"⚔️️初级融合后，攻击=二转攻击力+初级攻击附加；3×3边角伤害与十字保持一致
⚔️️深度融合后，每""爆炸周期""轮攻击子弹命中产生1次""爆炸伤害""同数值的爆炸(优先900灰烬伤害，溢出值造成物理伤害+击杀灰烬)，首次攻击即爆炸
⚔️️灵魂融合后，攻击=二转攻击力+初级攻击附加+灵魂攻击附加；向-1、0、1行各投掷一发3×3的子弹，子弹属性独立可叠加","🤔️[附加说明]
每轮攻击造成10次伤害，间隔0.2秒"
